run_id,method,scenario,comm_profile,N,seed,dt_s,duration_s,v_max_mps,a_max_mps2,range_m,top_k,spawn_goal_dist_min,spawn_goal_dist_mean,collisions,near_misses,min_sep_min_m,min_sep_p05_m,completion_rate,mean_time_to_goal_s,p95_time_to_goal_s,deadlock_time_pct,jerk_mean,planner_ms_per_tick_per_agent_mean,planner_ms_per_tick_per_agent_p95,episode_runtime_s
runs_leaderboard_smoke,baseline_goal,intersection,ideal_50hz,10,0,0.02,60.0,3.0,2.2,30.0,8,80.00037350004064,80.12968440706433,2215,990,-1.0982637831447442,-1.0464949052192523,1.0,27.54,27.64,0.0021691973969631237,0.21548480463097955,0.0005312962288452216,0.0006668269634246826,0.9083779999054968
runs_leaderboard_smoke,baseline_goal,intersection,ideal_50hz,10,1,0.02,60.0,3.0,2.2,30.0,8,80.00216514314349,80.1032851971137,2293,1040,-1.0978811866997737,-1.0158264672546742,1.0,27.532,27.593,0.002170767004341534,0.21564083997104522,0.0005504078191565546,0.0007082708179950714,0.9252174161374569
runs_leaderboard_smoke,baseline_goal,intersection,ideal_50hz,10,2,0.02,60.0,3.0,2.2,30.0,8,80.00085003380713,80.06843823279326,3738,1893,-1.0879690776299102,-1.0163825255608572,1.0,27.518,27.573,0.002172338884866039,0.21579710144928166,0.0005462752467381313,0.0007082708179950714,0.9365345421247184
runs_leaderboard_smoke,baseline_goal,intersection,realistic_v2v_50hz,10,0,0.02,60.0,3.0,2.2,30.0,8,80.00037350004064,80.12968440706433,2215,990,-1.0982637831447442,-1.0464949052192523,1.0,27.54,27.64,0.0021691973969631237,0.21548480463097955,0.0006123052297204668,0.000791158527135849,1.100693624932319
runs_leaderboard_smoke,orca_expert,funnel,ideal_50hz,10,0,0.02,60.0,3.0,2.0,30.0,8,82.42740653243264,89.29030673134426,33,7093,-0.20916844818717184,0.2000071333024845,0.3,31.953333333333337,35.012,0.5184,0.14049007907676983,0.07546135531569056,0.10154182091355324,4.175119750201702
runs_leaderboard_smoke,baseline_goal,intersection,realistic_v2v_50hz,10,1,0.02,60.0,3.0,2.2,30.0,8,80.00216514314349,80.1032851971137,2293,1040,-1.0978811866997737,-1.0158264672546742,1.0,27.532,27.593,0.002170767004341534,0.21564083997104522,0.0005681034893048601,0.0007082708179950714,1.011432709172368
runs_leaderboard_smoke,baseline_goal,intersection,realistic_v2v_50hz,10,2,0.02,60.0,3.0,2.2,30.0,8,80.00085003380713,80.06843823279326,3738,1893,-1.0879690776299102,-1.0163825255608572,1.0,27.518,27.573,0.002172338884866039,0.21579710144928166,0.0005439026045005624,0.0007082708179950714,1.0126163340173662
runs_leaderboard_smoke,orca_expert,intersection,ideal_50hz,10,0,0.02,60.0,3.0,2.2,30.0,8,80.00037350004064,80.12968440706433,39,4142,-0.6568996261270308,0.19653311179683725,0.9,28.144444444444446,28.784,0.04343333333333333,0.19352131435704814,0.06041873220866799,0.12312503531575203,2.4169729580171406
runs_leaderboard_smoke,orca_expert,intersection,ideal_50hz,10,1,0.02,60.0,3.0,2.2,30.0,8,80.00216514314349,80.1032851971137,83,1491,-0.919237355113933,0.07453213209048104,1.0,28.568,29.235,0.0021843003412969283,0.3299933918448164,0.06380966781460957,0.12868298217654203,1.8919448326341808
runs_leaderboard_smoke,orca_expert,intersection,ideal_50hz,10,2,0.02,60.0,3.0,2.2,30.0,8,80.00085003380713,80.06843823279326,1354,3972,-0.9646676634327833,-0.6548654089341646,1.0,29.934000000000005,36.35199999999999,0.002406015037593985,0.32196040251209124,0.06400150819202141,0.12858305126428604,2.1316790408454835
